year,zip_present,pdf_present,pdf_file,report_file,md_count,image_count,question_count,expected_questions,duplicate_nums,missing_nums,broken_img_refs,unreferenced_imgs,img_meta_phrase,u_tags,hangul_o_bullets
2012,True,True,2012_LEET_추리논증_문제지(홀수형).pdf,2012-2016_RA_review_report.md,1,5,35,35,,,,,0,4,0
2013,True,True,2013_LEET_추리논증_문제지(홀수형).pdf,2012-2016_RA_review_report.md,1,2,35,35,,,,,0,2,0
2014,True,True,2014_LEET_추리논증_문제지(홀수형).pdf,2012-2016_RA_review_report.md,1,2,35,35,,,,,0,9,0
2015,True,True,2015_LEET_추리논증_문제지(홀수형).pdf,2012-2016_RA_review_report.md,1,3,35,35,,,,,0,0,0
2016,True,True,2016_LEET_추리논증_문제지(홀수형).pdf,2012-2016_RA_review_report.md,1,4,35,35,,,,,0,9,0
2017,True,True,2017_LEET_추리논증_문제지(홀수형).pdf,2017-2021_RA_review_report.md,1,1,35,35,,,,,0,18,0
2018,True,True,2018_LEET_추리논증_문제지(홀수형).pdf,2017-2021_RA_review_report.md,1,0,35,35,,,,,0,20,0
2019,True,True,2019_LEET_추리논증_문제지(홀수형).pdf,2017-2021_RA_review_report.md,1,6,40,40,,,,,0,12,0
2020,True,True,2020_LEET_추리논증_문제지(홀수형).pdf,2017-2021_RA_review_report.md,1,5,40,40,,,,,0,6,0
2021,True,True,2021_LEET_추리논증_문제지(홀수형).pdf,2017-2021_RA_review_report.md,1,0,40,40,,,,,0,13,0
2022,True,True,2022_LEET_추리논증_문제지(홀수형).pdf,2022-2026_RA_review_report.md,1,5,40,40,,,,,0,6,0
2023,True,True,2023_LEET_추리논증_문제지(홀수형).pdf,2022-2026_RA_review_report.md,1,8,40,40,,,,,0,11,0
2024,True,True,2024_LEET_추리논증_문제지(홀수형).pdf,2022-2026_RA_review_report.md,1,6,40,40,,,,,0,15,0
2025,True,True,2025_LEET_추리논증_문제지(홀수형).pdf,2022-2026_RA_review_report.md,1,5,40,40,,,,,0,29,0
2026,True,True,2026_LEET_추리논증_문제지(홀수형).pdf,2022-2026_RA_review_report.md,1,6,40,40,,,,,0,13,0
